RT,I
7.88,479.0
7.885000000000001,599.0
7.89,652.0
7.895,578.0
7.9,545.0
7.905,596.0
7.91,582.0
7.915,536.0
7.92,556.0
7.925,557.0
7.930000000000001,551.0
7.9350000000000005,583.0
7.9399999999999995,587.0
7.944999999999999,554.0
7.95,508.0
7.955,458.0
7.96,465.0
7.965,505.0
7.97,513.0
7.975,538.0
7.98,569.0
7.985,610.0
7.989999999999999,614.0
7.995,570.0
8.0,548.0
8.005,554.0
8.01,574.0
8.014999999999999,564.0
8.02,559.0
8.025,578.0
8.03,594.0
8.035,598.0
8.04,601.0
8.045,558.0
8.05,465.0
8.055,502.0
8.06,538.0
8.065,500.0
8.07,494.0
8.075,488.0
8.08,481.0
8.085,477.0
8.09,471.0
8.095,490.0
8.1,530.0
8.105,572.0
8.110000000000001,578.0
8.115,546.0
8.12,532.0
8.125,540.0
8.13,548.0
8.135,529.0
8.139999999999999,564.0
8.145,636.0
8.15,600.0
8.155,521.0
8.16,482.0
8.165,467.0
8.17,504.0
8.175,547.0
8.18,553.0
8.185,527.0
8.19,490.0
8.195,528.0
8.2,608.0
8.205,629.0
8.21,536.0
8.215,466.0
8.22,498.0
8.225,523.0
8.23,530.0
8.235000000000001,588.0
8.24,589.0
8.245,506.0
8.25,476.0
8.255,454.0
8.26,437.0
8.264999999999999,482.0
8.27,507.0
8.275,547.0
8.28,562.0
8.285,542.0
8.29,551.0
8.295,542.0
8.3,461.0
8.305,412.0
8.31,454.0
8.315,468.0
8.32,466.0
8.325,510.0
8.33,518.0
8.335,465.0
8.34,498.0
8.345,565.0
8.35,508.0
8.355,440.0
8.360000000000001,462.0
8.365,527.0
8.37,582.0
8.375,612.0
8.38,545.0
8.385,468.0
8.389999999999999,487.0
8.395,506.0
8.4,498.0
8.405,519.0
8.41,506.0
8.415,473.0
8.42,496.0
8.425,489.0
8.43,502.0
8.435,591.0
8.44,763.0
8.445,1196.0
8.45,1646.0
8.455,1975.0
8.46,2081.0
8.465,2020.0
8.47,1882.0
8.475,1673.0
8.48,1377.0
8.485000000000001,1066.0
8.49,783.0
8.495,557.0
8.5,554.0
8.505,570.0
8.51,521.0
8.514999999999999,500.0
8.52,503.0
8.525,465.0
8.53,446.0
8.535,479.0
8.54,530.0
8.545,550.0
8.55,538.0
8.555,576.0
8.56,589.0
8.565,564.0
8.57,559.0
8.575,558.0
8.58,558.0
8.585,606.0
8.59,625.0
8.595,574.0
8.6,546.0
8.604999999999999,524.0
8.610000000000001,497.0
8.615,454.0
8.620000000000001,441.0
8.625,506.0
8.629999999999999,546.0
8.635,561.0
8.639999999999999,583.0
8.645000000000001,546.0
8.65,524.0
8.655,540.0
8.66,526.0
8.665,518.0
8.67,519.0
8.675,494.0
8.68,521.0
8.685,585.0
8.69,598.0
8.695,638.0
8.7,679.0
8.705,644.0
8.71,561.0
8.715,478.0
8.72,428.0
8.725,486.0
8.729999999999999,648.0
8.735000000000001,674.0
8.74,553.0
8.745000000000001,498.0
8.75,465.0
8.754999999999999,429.0
8.76,440.0
8.764999999999999,526.0
8.770000000000001,572.0
8.775,511.0
8.78,475.0
8.785,543.0
8.79,623.0
8.795,575.0
8.8,498.0
8.805,478.0
8.81,538.0
8.815,599.0
8.82,612.0
8.825,550.0
8.83,518.0
8.835,523.0
8.84,554.0
8.845,603.0
8.85,618.0
8.854999999999999,607.0
8.860000000000001,563.0
8.865,497.0
8.870000000000001,521.0
8.875,572.0
8.879999999999999,538.0
8.885,500.0
8.889999999999999,495.0
8.895000000000001,507.0
8.9,505.0
8.905,465.0
8.91,463.0
8.915,487.0
8.92,514.0
8.925,545.0
8.93,561.0
8.935,536.0
8.94,473.0
8.945,458.0
8.95,523.0
8.955,590.0
8.96,575.0
8.965,530.0
8.97,476.0
8.975,444.0
8.979999999999999,452.0
8.985000000000001,452.0
8.99,460.0
8.995000000000001,489.0
9.0,547.0
9.004999999999999,582.0
9.01,524.0
9.014999999999999,500.0
9.020000000000001,514.0
9.025,478.0
9.03,487.0
9.035,532.0
9.04,498.0
9.045,482.0
9.05,568.0
9.055,632.0
9.06,599.0
9.065,565.0
9.07,554.0
9.075,537.0
9.08,501.0
9.085,521.0
9.09,561.0
9.095,532.0
9.1,443.0
9.104999999999999,492.0
9.110000000000001,511.0
9.115,570.0
9.120000000000001,592.0
9.125,538.0
9.129999999999999,476.0
9.135,484.0
9.139999999999999,527.0
9.145000000000001,529.0
9.15,508.0
9.155,514.0
9.16,516.0
9.165,545.0
9.17,553.0
9.175,537.0
9.18,503.0
9.185,489.0
9.19,465.0
9.195,449.0
9.2,518.0
9.205,563.0
9.21,529.0
9.215,537.0
9.22,583.0
9.225,569.0
9.229999999999999,523.0
9.235000000000001,537.0
9.24,567.0
9.245000000000001,530.0
9.25,521.0
9.254999999999999,578.0
9.26,595.0
9.264999999999999,558.0
9.270000000000001,470.0
9.275,431.0
9.28,513.0
9.285,540.0
9.29,506.0
9.295,562.0
9.3,620.0
9.305,551.0
9.31,489.0
9.315,485.0
9.32,498.0
9.325,502.0
9.33,522.0
